Type of Food,Food Prepared,Event Type,Food Consumed,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,900,Birthday,720,Refrigerated,Regular,All Seasons,Buffet,Rural,High,180
Fruits,850,Corporate,650,Room Temperature,Regular,Winter,Buffet,Urban,Low,200
Meat,980,Birthday,780,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,200
Meat,980,Corporate,780,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,200
Meat,850,Corporate,680,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,170
Vegetables,995,Corporate,834,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,161
Meat,1000,Birthday,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Meat,850,Social Gathering,650,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,200
Vegetables,980,Social Gathering,720,Refrigerated,Occasional,Winter,Buffet,Rural,High,260
Baked Goods,982,Wedding,842,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,140
Vegetables,900,Wedding,700,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,200
Vegetables,850,Birthday,680,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,170
Baked Goods,980,Birthday,780,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,200
Fruits,970,Corporate,692,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,278
Vegetables,900,Corporate,720,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,180
Meat,850,Wedding,661,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,189
Fruits,900,Corporate,700,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,200
Vegetables,1000,Birthday,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,200
Fruits,800,Social Gathering,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,180
Baked Goods,1000,Birthday,800,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,200
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Fruits,980,Social Gathering,650,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,330
Vegetables,980,Wedding,680,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,300
Baked Goods,900,Wedding,700,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,200
Fruits,850,Birthday,680,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,170
Fruits,874,Social Gathering,690,Room Temperature,Regular,Winter,Finger Food,Rural,Low,184
Fruits,900,Birthday,720,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,180
Dairy Products,850,Corporate,650,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,200
Fruits,850,Birthday,661,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,189
Baked Goods,950,Birthday,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Baked Goods,900,Birthday,670,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,230
Vegetables,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Buffet,Rural,High,180
Baked Goods,1000,Corporate,780,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,220
Vegetables,982,Corporate,797,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,185
Dairy Products,950,Wedding,750,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,200
Dairy Products,800,Birthday,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Vegetables,850,Birthday,650,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,180
Meat,893,Wedding,667,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,226
Meat,850,Wedding,680,Refrigerated,Regular,All Seasons,Finger Food,Urban,Low,170
Fruits,800,Corporate,620,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,180
Vegetables,850,Birthday,680,Refrigerated,Regular,Winter,Finger Food,Rural,Low,170
Vegetables,850,Corporate,650,Refrigerated,Regular,Winter,Finger Food,Rural,High,200
Baked Goods,850,Birthday,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Dairy Products,950,Social Gathering,700,Room Temperature,Regular,Winter,Finger Food,Suburban,High,250
Fruits,900,Social Gathering,700,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,970,Social Gathering,692,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,278
Baked Goods,900,Social Gathering,720,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,180
Fruits,800,Wedding,620,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,180
Dairy Products,920,Birthday,767,Room Temperature,Regular,Winter,Buffet,Urban,Low,153
Vegetables,800,Birthday,620,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,180
Fruits,900,Birthday,700,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,200
Vegetables,850,Corporate,650,Refrigerated,Regular,Summer,Finger Food,Suburban,High,200
Dairy Products,1000,Corporate,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Corporate,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,1000,Social Gathering,650,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,350
Dairy Products,900,Corporate,700,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,200
Dairy Products,950,Social Gathering,640,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,310
Vegetables,800,Corporate,620,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,180
Meat,800,Birthday,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Baked Goods,850,Corporate,680,Room Temperature,Regular,Winter,Finger Food,Urban,Low,170
Meat,800,Social Gathering,620,Room Temperature,Regular,Summer,Finger Food,Rural,Low,180
Fruits,850,Birthday,680,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,170
Fruits,850,Wedding,650,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Fruits,900,Social Gathering,720,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,180
Vegetables,1000,Corporate,630,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,370
Fruits,850,Birthday,650,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,200
Baked Goods,950,Birthday,700,Room Temperature,Regular,Summer,Finger Food,Suburban,High,250
Meat,850,Social Gathering,680,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,170
Vegetables,782,Corporate,608,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,174
Meat,850,Social Gathering,650,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,200
Vegetables,782,Wedding,608,Refrigerated,Occasional,Summer,Sit-down Dinner,Rural,Moderate,174
Baked Goods,950,Corporate,700,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,250
Dairy Products,871,Corporate,702,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,169
Baked Goods,1000,Wedding,780,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,220
Baked Goods,920,Social Gathering,767,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,153
Baked Goods,850,Social Gathering,680,Room Temperature,Regular,Winter,Finger Food,Rural,Low,170
Vegetables,950,Wedding,750,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Fruits,1000,Social Gathering,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,980,Social Gathering,680,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,300
Vegetables,850,Social Gathering,680,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,170
Dairy Products,1000,Wedding,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Baked Goods,850,Social Gathering,710,Room Temperature,Regular,Summer,Finger Food,Rural,High,140
Baked Goods,900,Wedding,720,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,180
Meat,800,Social Gathering,620,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,180
Dairy Products,850,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50
Dairy Products,850,Corporate,710,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,140
Fruits,850,Social Gathering,650,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Fruits,800,Social Gathering,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Dairy Products,950,Birthday,700,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,250
Dairy Products,900,Corporate,670,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,230
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,200
Baked Goods,1000,Social Gathering,780,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,220
Baked Goods,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,200
Dairy Products,995,Social Gathering,834,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,161
Baked Goods,950,Birthday,750,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,995,Corporate,834,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,161
Dairy Products,950,Birthday,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,180
Baked Goods,850,Social Gathering,650,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,170
Baked Goods,993,Social Gathering,838,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,155
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Meat,850,Birthday,680,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,170
Meat,900,Birthday,720,Refrigerated,Regular,All Seasons,Buffet,Rural,High,180
Fruits,1000,Corporate,800,Room Temperature,Regular,Summer,Buffet,Rural,High,200
Meat,970,Birthday,692,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,278
Meat,800,Corporate,620,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,180
Fruits,980,Corporate,680,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,300
Baked Goods,900,Birthday,720,Room Temperature,Regular,Winter,Buffet,Rural,High,180
Baked Goods,950,Corporate,750,Room Temperature,Regular,Winter,Buffet,Urban,High,200
Fruits,959,Social Gathering,839,Refrigerated,Regular,Summer,Buffet,Suburban,Low,120
Fruits,1000,Corporate,800,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,200
Fruits,1000,Corporate,800,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,200
Fruits,920,Social Gathering,767,Room Temperature,Regular,Summer,Buffet,Urban,Low,153
Fruits,900,Wedding,780,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,120
Vegetables,850,Wedding,650,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,200
Vegetables,900,Wedding,780,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,120
Baked Goods,850,Wedding,650,Room Temperature,Regular,Winter,Finger Food,Rural,High,200
Meat,1000,Corporate,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,High,200
Meat,1000,Corporate,780,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,220
Meat,1000,Corporate,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Fruits,950,Corporate,750,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,200
Vegetables,850,Birthday,650,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,200
Vegetables,900,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,100
Fruits,850,Birthday,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50
Dairy Products,900,Birthday,720,Room Temperature,Regular,All Seasons,Buffet,Rural,High,180
Dairy Products,900,Corporate,700,Room Temperature,Regular,Summer,Finger Food,Urban,Low,200
Meat,850,Corporate,680,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,170
Fruits,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Meat,900,Social Gathering,720,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,180
Baked Goods,950,Corporate,750,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,200
Vegetables,900,Birthday,700,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Vegetables,900,Birthday,720,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,180
Fruits,800,Corporate,620,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,180
Fruits,800,Corporate,620,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,180
Dairy Products,800,Birthday,620,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,180
Baked Goods,1000,Birthday,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Dairy Products,1000,Corporate,800,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,200
Dairy Products,1000,Corporate,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,200
Dairy Products,800,Birthday,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Baked Goods,1000,Corporate,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Dairy Products,995,Corporate,834,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,161
Baked Goods,950,Wedding,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,800,Birthday,620,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,180
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Dairy Products,850,Corporate,650,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,200
Baked Goods,950,Birthday,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Baked Goods,984,Social Gathering,853,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,131
Dairy Products,950,Wedding,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,900,Social Gathering,660,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,240
Vegetables,950,Social Gathering,750,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Fruits,950,Social Gathering,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,850,Birthday,650,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Baked Goods,900,Social Gathering,750,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,150
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,200
Dairy Products,900,Corporate,700,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Baked Goods,850,Social Gathering,650,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,200
Fruits,900,Social Gathering,720,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,850,Social Gathering,650,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,200
Meat,1000,Wedding,800,Refrigerated,Occasional,Summer,Buffet,Rural,High,200
Meat,900,Corporate,720,Room Temperature,Regular,Winter,Buffet,Urban,High,180
Meat,1000,Wedding,800,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Low,200
Fruits,1000,Wedding,800,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,1000,Wedding,780,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,220
Meat,900,Wedding,700,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,200
Meat,1000,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,200
Fruits,900,Corporate,720,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,180
Meat,980,Birthday,780,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,200
Fruits,980,Corporate,780,Refrigerated,Occasional,Winter,Buffet,Suburban,Moderate,200
Meat,900,Wedding,700,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,200
Vegetables,980,Birthday,780,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,200
Meat,850,Corporate,680,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,170
Baked Goods,900,Wedding,700,Room Temperature,Regular,Summer,Finger Food,Rural,Low,200
Meat,850,Corporate,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50
Meat,800,Corporate,620,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,180
Baked Goods,874,Birthday,690,Room Temperature,Regular,Summer,Finger Food,Rural,Low,184
Fruits,950,Birthday,800,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,150
Meat,950,Wedding,640,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,310
Meat,850,Wedding,650,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,200
Meat,900,Corporate,720,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,180
Baked Goods,1000,Birthday,850,Room Temperature,Regular,Summer,Finger Food,Rural,High,150
Baked Goods,959,Corporate,839,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,120
Baked Goods,850,Wedding,680,Room Temperature,Occasional,All Seasons,Buffet,Urban,Low,170
Fruits,850,Corporate,710,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,140
Vegetables,782,Wedding,608,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,174
Fruits,782,Wedding,608,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,174
Vegetables,850,Birthday,650,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,200
Baked Goods,900,Wedding,700,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,200
Fruits,850,Corporate,650,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,874,Birthday,690,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,184
Fruits,905,Corporate,742,Refrigerated,Occasional,All Seasons,Finger Food,Urban,Moderate,163
Dairy Products,980,Wedding,680,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,300
Vegetables,995,Wedding,834,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Urban,Low,161
Meat,1000,Social Gathering,630,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Low,370
Baked Goods,997,Birthday,891,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,106
Dairy Products,1000,Social Gathering,650,Room Temperature,Regular,Winter,Buffet,Urban,High,350
Fruits,980,Social Gathering,720,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,260
Fruits,1000,Corporate,800,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,200
Fruits,1000,Corporate,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,370
Fruits,782,Wedding,608,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,174
Dairy Products,800,Birthday,620,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Fruits,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,200
Baked Goods,984,Birthday,853,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,131
Baked Goods,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Buffet,Rural,High,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,180
Fruits,1000,Social Gathering,850,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,150
Meat,1000,Social Gathering,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,180
Baked Goods,782,Corporate,608,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,174
Meat,850,Social Gathering,680,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Moderate,170
Dairy Products,950,Wedding,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Fruits,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,170
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Baked Goods,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Baked Goods,900,Social Gathering,700,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Baked Goods,1000,Social Gathering,630,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,370
Dairy Products,1000,Corporate,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,850,Birthday,661,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,189
Dairy Products,993,Social Gathering,838,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,155
Meat,997,Birthday,891,Refrigerated,Regular,Summer,Finger Food,Urban,High,106
Meat,900,Birthday,700,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,200
Meat,900,Wedding,700,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,950,Wedding,750,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,200
Meat,970,Corporate,692,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,278
Meat,900,Wedding,700,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,977,Corporate,830,Room Temperature,Regular,Summer,Buffet,Urban,Low,147
Fruits,800,Corporate,620,Room Temperature,Regular,Summer,Finger Food,Urban,Low,180
Meat,900,Wedding,720,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,180
Fruits,900,Corporate,700,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,200
Meat,950,Wedding,750,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Meat,900,Corporate,720,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,180
Fruits,1000,Birthday,800,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,200
Baked Goods,850,Social Gathering,650,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Dairy Products,850,Social Gathering,661,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,189
Fruits,800,Corporate,620,Refrigerated,Regular,Winter,Finger Food,Rural,Low,180
Meat,1000,Wedding,800,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,200
Meat,850,Corporate,680,Room Temperature,Regular,Winter,Finger Food,Urban,Low,170
Vegetables,900,Wedding,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Fruits,900,Wedding,720,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,180
Meat,850,Corporate,650,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,200
Vegetables,850,Birthday,680,Refrigerated,Regular,Winter,Finger Food,Rural,Low,170
Meat,900,Birthday,700,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,200
Meat,900,Corporate,700,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,200
Meat,950,Corporate,750,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,200
Meat,950,Corporate,620,Refrigerated,Occasional,Winter,Finger Food,Urban,Moderate,330
Vegetables,850,Corporate,680,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,170
Meat,1000,Corporate,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Vegetables,900,Birthday,720,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,180
Dairy Products,1000,Corporate,650,Room Temperature,Regular,Winter,Buffet,Urban,High,350
Baked Goods,950,Birthday,710,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,240
Vegetables,800,Corporate,620,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,180
Baked Goods,800,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Urban,Low,180
Fruits,950,Wedding,750,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Meat,900,Corporate,720,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Fruits,900,Wedding,700,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Vegetables,900,Wedding,720,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,180
Fruits,900,Social Gathering,720,Refrigerated,Regular,All Seasons,Buffet,Rural,High,180
Fruits,900,Social Gathering,720,Refrigerated,Regular,All Seasons,Buffet,Rural,High,180
Dairy Products,950,Corporate,710,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,240
Meat,900,Corporate,700,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Vegetables,850,Corporate,650,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,200
Fruits,800,Wedding,620,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,180
Meat,950,Wedding,750,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Baked Goods,1000,Corporate,800,Room Temperature,Regular,Summer,Finger Food,Urban,High,200
Dairy Products,850,Wedding,650,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,200
Vegetables,871,Corporate,702,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,169
Baked Goods,950,Wedding,750,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,200
Baked Goods,800,Birthday,620,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,180
Fruits,850,Birthday,650,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,800,Wedding,620,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Dairy Products,850,Corporate,680,Room Temperature,Regular,Winter,Finger Food,Urban,Low,170
Meat,998,Social Gathering,888,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,110
Fruits,800,Social Gathering,620,Room Temperature,Regular,Winter,Finger Food,Rural,Low,180
Fruits,900,Social Gathering,720,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,180
Meat,900,Corporate,720,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,780,Birthday,607,Room Temperature,Regular,Summer,Finger Food,Rural,High,173
Fruits,850,Wedding,680,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,170
